Equipo\Fecha,Equipo\Fecha,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22
,Olimpia,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Cerro Porteño,2,2,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3
,Libertad,5,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Guaraní,10,11,12,12,11,7,5,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4
,Sol de América,6,5,7,6,9,10,10,7,7,6,8,6,5,6,6,6,5,5,5,5,5,5
,River Plate,3,4,6,8,8,9,9,10,9,8,7,8,10,10,11,10,6,6,7,6,7,8
,Nacional,7,10,10,10,5,5,7,8,6,5,5,5,6,5,5,5,9,9,6,7,6,6
,San Lorenzo,8,6,4,4,4,4,6,6,8,9,10,11,11,11,9,11,8,8,9,9,10,9
,Sportivo Luqueño,9,12,8,9,10,11,11,11,12,11,11,12,12,12,12,12,12,12,11,12,12,10
,General Díaz,12,8,9,7,7,6,4,5,5,7,6,7,8,8,7,7,7,7,8,8,8,7
,Deportivo Capiatá,4,7,5,5,6,8,8,9,10,12,12,10,9,7,8,9,11,11,12,11,9,11
,Deportivo Santaní,11,9,11,11,12,12,12,12,11,10,9,9,7,9,10,8,10,10,10,10,11,12
